Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Au,Threatened,"4,200",Torricelli; Wapei,Papua New Guinea ,"-3.6, 142.1"
Aulua,Endangered,750,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.36, 167.70"
Austral,Threatened,"8,000",Austronesian; Malayo-Polynesian; Oceanic; Polynesian,French Polynesia ,"-23.3775,-149.4909"
Australian Sign Language,Threatened,"6,500",Sign Language; Australian,Australia ,"-35.3075, 149.124417"
Auwe,Endangered,270,Border; Waris,Papua New Guinea ,"-3.34, 141.25"
Auye,Endangered,350,Trans-New Guinea; Paniai Lakes,Indonesia ,"-3.5627,135.9915"
AvÃ¡,Severely Endangered,16,Tupian; Tupi-Guaranian; Teneteharan,Brazil ,"-14.0847,-48.0418"
Avava,Vulnerable,700,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.184, 167.477"
Aveteian,Severely Endangered,50,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.33, 167.52"
Avok,Endangered,500,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.501248,167.730344;"
Awa Pit,Vulnerable,"<17,464",Barbacoan; Northern Barbacoan,Colombia Ecuador ,"1.5,-78.25"
Awakateko,Vulnerable,"16,272",Mayan; Mamean,Guatemala ,"15.4166666667,-91.3333333333"
Awar,Severely Endangered,"<1,153",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.14, 144.84"
Awbono,Vulnerable,~100,Bayono-Awbono,Indonesia ,"-5.06, 139.72"
Aweer,Endangered,<200,Afro-Asiatic; Cushitic; Lowland East Cushitic,Kenya Somalia ,"-.8294,40.8142"
Awera,Endangered,100,Lakes Plain,Indonesia ,"-2.7084, 136.0395"
AwetÃ­,Endangered,170,Tupian,Brazil ,"-12.2053,-53.3705"
Awiakay,Threatened,300,Arafundi,Papua New Guinea ,"-4.7, 143.6"
Awjilah,Threatened,"< 2,000",Afro-Asiatic; Berber,Libya ,"26.6278,24.5214"
Awngthim,Dormant,No known L1 speakers,Pama-Nyungan; Paman,Australia ,"-12.587833, 142.023835"
Awtuw,Endangered,400,Sepik; Ram,Papua New Guinea ,"-3.58, 142.50"
Awun,Endangered,384,Sepik; Yellow River,Papua New Guinea ,"-3.80, 142.00"
Awyi,Endangered,400,Border; Taikat,Indonesia ,"-2.91666666667, 140.583333333"
Axamb,Endangered,750,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.487266,167.664068;"
Ayacucho Quechua,At Risk,"850,000",Quechuan; Peripheral Quechua; Chinchay,Peru ,"-13.85, -74.32"
Ayapanec Zoque,Critically Endangered,4,Mixe-Zoquean; Zoquean,Mexico ,"18.223405, -93.111446"
Ayapathu,Critically Endangered,6,Pama-Nyungan; Paman,Australia ,"-14.47173612,143.2934448"
Ayi,Endangered,430,Sepik; Tama,Papua New Guinea ,"-3.96, 142.41"
Aymara,At Risk,"<1,471,256",Aymaran,Peru Argentina Bolivia Chile ,"-16.515304, -68.246467"
Ayoquesco,Endangered,880,Otomanguean; Zapotecan,Mexico ,"16.66, -96.86"
Ayoreo,Threatened,"3,154",Zamucoan,Bolivia Paraguay ,"-18.719,-59.6228"
Ayu,Severely Endangered,only in the hundreds,Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"9.293779, 8.615738"
Baan,Threatened,"<5,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"4.649881, 7.282008"
Babalia Creole Arabic,Threatened,"3,940",Creole; Arabic Based,Chad ,"12.113056, 15.049167;"
Bade,At Risk,"~250,000",Afro-Asiatic; Chadic; West Chadic,Nigeria ,"12.8333333333,10.5"
BÃ¤di Kanum,Severely Endangered,10,Morehead-Upper Maro,Indonesia ,"-8.83333333333,140.75"
Badjiri,Critically Endangered,~2,Pama-Nyungan; Karnic,Australia ,"-28.71870395,144.8719484"
Badyara,Vulnerable,">12,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal Guinea Guinea-Bissau ,"12.4043,-13.5736"
Baga Binari,Threatened,"3,000",Niger-Congo; Atlantic-Congo; Mansoanka-Fore-Mboteni,Guinea ,"10.4013,-14.4799"
Baga Koga,Threatened,"< 5,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"10.026644,-14.040625"
Baga Manduri,Threatened,"4,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"10.835666, -14.542517"
Baga Mboteni,Threatened,"< 4,900",Niger-Congo; Atlantic-Congo; Mansoanka-Fore-Mboteni,Guinea ,"10.7415,-14.5513"
Baga Sitemu,Threatened,"4,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"10.5,-14.5"
Baghati,Threatened,"<4,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,India ,"31.194, 77.0471"
Bagupi,Endangered,58,Trans-New Guinea; Madang,Papua New Guinea ,"-5.0454, 145.5822"
Bagvalal,Threatened,"4,000-6,000",Northeast Caucasian; Daghestanian; Andic,Russia ,"42.5833333333,46.1666666667"
Bahinemo,Vulnerable,700,Sepik; Sepik Hill; Central Sepik Hill,Papua New Guinea ,"-4.56, 142.83"
Bahonsuai,Endangered,200,Austronesian; Malayo-Polynesian; Celebic; Bungku-Tolaki,Indonesia ,"-2.2186,121.6845"
Bai,Threatened,"2,500",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,South Sudan ,"8.0592,25.5102"
Baibai,Endangered,271,Baibai-Fas,Papua New Guinea ,"-3.463972092, 141.358078"
Baikeno,Vulnerable,"20,000",Austronesian; Malayo-Polynesian; Timor,East Timor ,"-9.33, 124.26"
Baima,Threatened,10000,Sino-Tibetan; Tibeto-Kanauri,China ,"33.1531,103.8696"
Bainouk-Gunyaamolo,Threatened,"~6,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal Gambia ,"12.7421,-16.1141"
Bainouk-Samik,Threatened,"1,850",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"12.5733,-16.2652"
BaÃ¯nounk GubÃ«eher,Threatened,"1,100",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"12.531272, -16.353248"
Bajelani,Vulnerable,"20,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran Iraq ,"35.4259,46.2551"
"Baka (East Region, Cameroon)",Vulnerable,"30,000-50,000",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Gabon Cameroon ,"2.58333333333,13.5833333333"
BakairÃ­,Endangered,900,Cariban; Pekodian,Brazil ,"-14.0,-55.0"
Baki,Endangered,150,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.7013,168.145"
Bakole,Endangered,300,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.5764,8.8439"
Bakpinka,Threatened,"4,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"5.3644,8.2397"
Baldemu,Critically Endangered,<3,Afro-Asiatic; Chadic; Biu-Mandara,Cameroon ,"10.5742,14.5623"
Bali,Threatened,1000,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Nigeria ,"7.859380, 10.970208"
Balkan Gagauz Turkish,Threatened,"331,000",Turkic; Oghuz,Turkey Bulgaria Macedonia ,"41.4633,22.6977"
