Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Ossete,Vulnerable,550000.0,Indo-European,"Georgia, Russian Federation","42.9564,44.4946"
Mizo,Vulnerable,529000.0,Sino-Tibetan,India,"22.9988,92.9223"
Dargwa,Vulnerable,503523.0,Northeast Caucasian,Russian Federation,"42.1145,47.4938"
Aromanian,Definitely endangered,500000.0,Indo-European,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","40.2292,21.1376"
Brahui,Vulnerable,500000.0,Dravidian,"Iran (Islamic Republic of), Pakistan, Afghanistan","29.0369,66.5826"
Languedocian,Severely endangered,500000.0,Indo-European,France,"43.8899,2.5378"
Lezgian,Vulnerable,500000.0,Northeast Caucasian,"Azerbaijan, Russian Federation","41.4921,48.0541"
Mahasui,Definitely endangered,496024.0,Indo-European,India,"31.2738,77.1295"
Magar,Definitely endangered,489383.0,Sino-Tibetan,Nepal,"28.0816,83.4301"
Mam (Guatemala),Vulnerable,477717.0,Sino-Tibetan,Guatemala,"14.9305,-91.9078"
Udmurt,Definitely endangered,463837.0,Uralic,Russian Federation,"57.2315,52.8662"
Huasteca Náhuatl,Vulnerable,463183.0,Uto-Aztecan,Mexico,"21.3835,-98.9902"
Kumyk,Vulnerable,458121.0,Turkic,Russian Federation,"43.397,46.9775"
Yakut,Vulnerable,456288.0,Turkic,Russian Federation,"62.3496,130.8691"
Kaqchikel (Guatemala),Vulnerable,444954.0,Sino-Tibetan,Guatemala,"14.7814,-90.7925"
Karbi,Vulnerable,420000.0,Sino-Tibetan,India,"26.2934,93.2299"
Eastern Mari,Definitely endangered,414211.0,Uralic,Russian Federation,"56.632,47.8784"
Ingush,Vulnerable,405343.0,Northeast Caucasian,Russian Federation,"43.145,45.1043"
Erzya,Definitely endangered,400000.0,Uralic,Russian Federation,"54.1302,45.4394"
Ho,Vulnerable,400000.0,Austroasiatic,India,"21.637,86.4404"
Judezmo (Israel),Severely endangered,400000.0,Indo-European,Israel,"32.0872,34.7737"
Lalo,Vulnerable,400000.0,Sino-Tibetan,China,"25.383,99.9426"
Limousin,Severely endangered,400000.0,Indo-European,France,"46.0579,1.8017"
Logudorese,Definitely endangered,400000.0,Indo-European,Italy,"40.1116,9.1845"
Mapuche (Chile),Definitely endangered,400000.0,Araucanian,Chile,"-38.5653,-73.081"
Central Náhuatl,Vulnerable,395581.0,Uto-Aztecan,Mexico,"19.191,-99.0236"
Moselle Franconian,Vulnerable,390000.0,Indo-European,"Germany, Belgium, France, Luxembourg","49.6071,6.1248"
Bantawa,Vulnerable,371056.0,Sino-Tibetan,Nepal,"27.0994,87.0048"
Santa,Vulnerable,360000.0,Mongolic,China,"35.5411,102.7935"
Mingrelian,Definitely endangered,350000.0,Kartvelian,Georgia,"42.4599,41.7205"
West Frisian,Vulnerable,350000.0,Indo-European,Netherlands,"53.1006,5.6579"
Gurung,Definitely endangered,338925.0,Sino-Tibetan,Nepal,"28.275,84.1782"
Guajiro,Vulnerable,318500.0,Arawakan,"Colombia, Venezuela (Bolivarian Republic of)","11.8673,-71.9824"
Karachay-Balkar,Vulnerable,302748.0,Turkic,Russian Federation,"44.2137,42.8466"
Adyge,Vulnerable,300000.0,Northwest Caucasian,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","44.9181,39.7485"
Buryat (Trans-Baikal),Definitely endangered,300000.0,Mongolic,Russian Federation,"50.8336,109.5117"
Kurru,Definitely endangered,300000.0,Dravidian,India,"16.6151,81.6284"
Kuvi,Definitely endangered,300000.0,Dravidian,India,"18.9478,83.5839"
Limbu,Definitely endangered,300000.0,Sino-Tibetan,"India, Nepal","27.096,87.7356"
Moroccan Judeo-Arabic (Israel),Definitely endangered,300000.0,Afro-Asiatic,Israel,"32.0476,34.7552"
Plautdietsch,Definitely endangered,300000.0,Indo-European,Ukraine,"47.0738,35.5545"
Pontic Greek,Definitely endangered,300000.0,Indo-European,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","40.847,40.0149"
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Definitely endangered,300000.0,Quechuan,Ecuador,"-1.8673,-78.9257"
Waxiang,Vulnerable,300000.0,Sino-Tibetan,China,"28.5652,110.3576"
Oyrat,Definitely endangered,280000.0,Mongolic,"China, Kyrgyzstan, Mongolia","46.195,88.7255"
Garhwali,Vulnerable,279500.0,Indo-European,India,"30.0976,79.1235"
Bade,Vulnerable,250000.0,Afro-Asiatic,Nigeria,"12.801,11.1181"
Breton,Severely endangered,250000.0,Indo-European,France,"48.2246,-3.9331"
Gascon,Definitely endangered,250000.0,Indo-European,"Spain, France","43.1811,-0.1428"
Phula (China),Vulnerable,250000.0,Sino-Tibetan,China,"22.6001,104.0004"
Sora,Vulnerable,250000.0,Austroasiatic,India,"19.1244,83.2104"
Konyak,Vulnerable,248000.0,Sino-Tibetan,India,"26.9367,95.1745"
Ao,Vulnerable,243000.0,Niger–Congo,India,"26.4361,94.6472"
Tuvan,Vulnerable,242754.0,Turkic,"China, Mongolia, Russian Federation","51.7134,94.3945"
Nafusi,Severely endangered,240000.0,Afro-Asiatic,Libyan Arab Jamahiriya,"32.6393,13.4252"
Suret,Definitely endangered,240000.0,Afro-Asiatic,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","36.4477,43.2971"
Malto,Definitely endangered,224926.0,Dravidian,India,"23.7853,85.4736"
Khowar,Vulnerable,222800.0,Indo-European,Pakistan,"35.8667,71.7956"
Maiya,Vulnerable,220000.0,Indo-European,Pakistan,"35.3151,72.908"
Komi,Definitely endangered,217316.0,Uralic,Russian Federation,"62.3087,51.5917"
Alpine Provençal,Definitely endangered,200000.0,Indo-European,"France, Italy","44.7467,6.6796"
Gallo,Severely endangered,200000.0,Indo-European,France,"47.931,-2.0544"
Gera,Vulnerable,200000.0,Afro-Asiatic,Nigeria,"10.5553,10.0579"
Irula,Vulnerable,200000.0,Dravidian,India,"11.4369,76.5032"
Kharia,Vulnerable,200000.0,Austroasiatic,India,"21.8003,85.4956"
Khorasani Turk,Vulnerable,200000.0,Turkic,Iran (Islamic Republic of),"36.6596,57.854"
Korku,Vulnerable,200000.0,Austroasiatic,India,"20.3034,80.2441"
Moksha,Definitely endangered,200000.0,Uralic,Russian Federation,"54.1817,43.2751"
Western Armenian (Middle East),Definitely endangered,200000.0,Indo-European,"Iraq, Lebanon, Syrian Arab Republic","33.884,35.5133"
Western Cham,Vulnerable,200000.0,Austronesian,Cambodia,"12.0333,105.4333"
Tshangla,Vulnerable,193000.0,Sino-Tibetan,"Bhutan, China, India","27.1275,91.9335"
Thado,Vulnerable,191000.0,Sino-Tibetan,India,"24.4521,93.2354"
Gagauz (Bessarabia),Definitely endangered,180000.0,Turkic,"Republic of Moldova, Ukraine","46.0922,28.7951"
Kului,Definitely endangered,170770.0,Indo-European,India,"31.4403,77.1487"
Adi,Vulnerable,170000.0,Sino-Tibetan,"China, India","28.3527,95.2294"
Lhota,Vulnerable,170000.0,Sino-Tibetan,India,"26.1603,94.3725"
Nyishi,Vulnerable,170000.0,Sino-Tibetan,India,"27.5277,93.0981"
Ngäbere (Panama),Vulnerable,169130.0,Chibchan,Panama,"9.3395,-82.2428"
Kodagu,Definitely endangered,166187.0,Dravidian,India,"11.6952,75.9375"
Corsican,Definitely endangered,160000.0,Indo-European,"France, Italy","42.0819,9.0307"
Dzongkha,Vulnerable,160000.0,Sino-Tibetan,Bhutan,"27.44,89.6731"
Kalmyk,Definitely endangered,153602.0,Mongolic,Russian Federation,"46.2026,45.8239"
Lak,Vulnerable,153373.0,Northeast Caucasian,Russian Federation,"42.0125,47.2521"
Asturian-Leonese,Definitely endangered,150000.0,Indo-European,"Spain, Portugal","42.7954,-5.6689"
Latgalian,Vulnerable,150000.0,Indo-European,"Latvia, Russian Federation","56.1822,27.1362"
Provençal,Severely endangered,150000.0,Indo-European,France,"43.5485,6.1083"
Rabha,Vulnerable,150000.0,Sino-Tibetan,India,"25.9284,90.9777"
Tamzabit,Vulnerable,150000.0,Afro-Asiatic,Algeria,"32.4816,3.6694"
Sherpa,Vulnerable,143693.0,Sino-Tibetan,"China, India, Nepal","27.739,86.839"
Tangkhul,Vulnerable,142000.0,Sino-Tibetan,India,"25.0358,94.4824"
Q'aanjob'al,Vulnerable,139830.0,Sino-Tibetan,Guatemala,"15.6019,-91.4441"
Badaga,Definitely endangered,134514.0,Dravidian,India,"11.3642,76.5266"
Angami,Vulnerable,132000.0,Sino-Tibetan,India,"25.7553,94.1308"
Laz,Definitely endangered,130000.0,Kartvelian,"Georgia, Turkey","41.2736,41.2646"
Tabasaran,Vulnerable,128391.0,Northeast Caucasian,Russian Federation,"41.8081,47.9882"
Chambeali,Definitely endangered,126589.0,Indo-European,India,"32.9072,76.5307"
Abkhaz,Vulnerable,125000.0,Northwest Caucasian,"Georgia, Russian Federation, Turkey","43.133,40.8471"
Phom,Vulnerable,123000.0,Sino-Tibetan,India,"26.7799,94.9493"
Kolami,Definitely endangered,121855.0,Dravidian,India,"20.5093,78.1787"
Navajo,Vulnerable,120000.0,Dené–Yeniseian,United States of America,"35.8044,-108.475"
Sassarese,Definitely endangered,120000.0,Indo-European,Italy,"40.6139,8.6132"
Tamahaq (Algeria),Vulnerable,120000.0,Afro-Asiatic,Algeria,"22.8369,5.5371"
Konda,Definitely endangered,118597.0,Dravidian,India,"18.2763,82.9385"
Sierra Totonac,Severely endangered,118367.0,Totozoquean,Mexico,"20.2461,-97.6586"
Jaunsari,Definitely endangered,114733.0,Indo-European,India,"30.4859,78.0908"
Dimasa,Vulnerable,112000.0,Sino-Tibetan,India,"24.7368,92.9003"
Ladakhi,Vulnerable,105000.0,Sino-Tibetan,"China, India","34.0617,77.5909"
Salar,Vulnerable,104503.0,Turkic,China,"36.2752,102.4584"
Simi,Vulnerable,104000.0,Sino-Tibetan,India,"25.9777,94.5922"
Phurhepecha,Vulnerable,102988.0,Language isolate,Mexico,"19.3111,-102.041"
Crimean Tatar (Crimea),Severely endangered,100000.0,Turkic,Ukraine,"45.3212,34.3212"
Dagur (Nonni),Definitely endangered,100000.0,Mongolic,China,"47.9163,124.1235"
Francoprovençal,Definitely endangered,100000.0,Indo-European,"France, Italy, Switzerland","45.7828,6.9982"
Gallurese,Definitely endangered,100000.0,Indo-European,Italy,"40.8802,9.4482"
Mapuche (Argentina),Severely endangered,100000.0,Araucanian,Argentina,"-40.0791,-71.0156"
Mehri,Definitely endangered,100000.0,Afro-Asiatic,"Oman, Yemen","16.5993,52.8057"
Miskito (Nicaragua),Vulnerable,100000.0,Sino-Tibetan,Nicaragua,"12.4001,-83.7332"
Ordos,Definitely endangered,100000.0,Mongolic,China,"39.1641,108.1054"
Quechua of Northern Bolivia,Vulnerable,100000.0,Quechuan,Bolivia (Plurinational State of),"-15.3649,-69.0518"
Suba,Vulnerable,100000.0,Niger–Congo,"Kenya, United Republic of Tanzania","-0.9942,34.519"
Garífuna (Honduras),Vulnerable,98000.0,Arawakan,Honduras,"15.6754,-88.1476"
Embera (Colombia),Vulnerable,95000.0,Chocoan,Colombia,"6.1624,-76.8383"
Kabui,Vulnerable,95000.0,Sino-Tibetan,India,"24.7218,93.6584"
Shughni,Vulnerable,95000.0,Indo-European,"Tajikistan, Afghanistan","37.4879,71.5374"
Permyak,Definitely endangered,94328.0,Uralic,Russian Federation,"59.204,54.5361"
Poqomchi',Vulnerable,92941.0,Mayan,Guatemala,"15.3757,-90.4288"
Yimchungru,Vulnerable,92000.0,Sino-Tibetan,India,"25.9629,94.9713"
Nogay (Caucasus),Definitely endangered,90020.0,Turkic,Russian Federation,"43.8028,46.2744"
Heiban,Vulnerable,90000.0,Niger–Congo,Sudan,"10.8575,30.2371"
Quichua (Cañar and Azuay),Severely endangered,90000.0,Quechuan,Ecuador,"-2.6577,-78.8378"
Mezquital Otomí,Definitely endangered,88789.0,Oto-Manguean,Mexico,"20.4831,-99.217"
Eastern Mazahua,Definitely endangered,88001.0,Sino-Tibetan,Mexico,"19.7129,-99.9515"
Burushaski,Vulnerable,87000.0,Language isolate,Pakistan,"35.909,74.2153"
Central Otomí,Definitely endangered,84593.0,Sino-Tibetan,Mexico,"19.4661,-99.5944"
Chokri,Vulnerable,84000.0,Sino-Tibetan,India,"25.8691,94.7131"
Sangtam,Vulnerable,84000.0,Sino-Tibetan,India,"26.6032,94.9603"
Ixil (Guatemala),Vulnerable,83574.0,Sino-Tibetan,Guatemala,"15.4849,-91.0358"
Achi',Vulnerable,82640.0,Mayan,Guatemala,"15.0845,-90.4888"
Yem,Vulnerable,81613.0,Afro-Asiatic,Ethiopia,"7.6347,37.3205"
Mao,Vulnerable,81000.0,Sino-Tibetan,India,"25.5027,94.2681"
Arbëresh,Definitely endangered,80000.0,Indo-European,Italy,"40.9321,14.8645"
Lari,Definitely endangered,80000.0,Indo-European,Iran (Islamic Republic of),"27.8585,54.8547"
Páez,Definitely endangered,80000.0,Paezan,Colombia,"2.8237,-76.3117"
Quechua of Santiago del Estero,Definitely endangered,80000.0,Quechuan,Argentina,"-26.7848,-63.6767"
Svan,Definitely endangered,80000.0,Kartvelian,Georgia,"43.0207,42.3193"
Tai Daeng,Vulnerable,80000.0,Kra–Dai,"Lao People's Democratic Republic, Viet Nam","19.8833,104.6166"
Taznatit,Severely endangered,80000.0,Afro-Asiatic,Algeria,"29.3413,0.3955"
Razihi,Definitely endangered,75000.0,Sino-Tibetan,Yemen,"16.8834,43.2655"
Wakhi,Definitely endangered,75000.0,Indo-European,"China, Pakistan, Tajikistan, Afghanistan","37.1603,74.9047"
Bishnupriya Manipuri Creole,Vulnerable,72899.0,Indo-European,"Bangladesh, India","24.297,92.4499"
Acheron,Severely endangered,70000.0,Niger–Congo,Sudan,"10.809,30.2453"
Maori,Vulnerable,70000.0,Austronesian,New Zealand,"-38.4105,177.3632"
Tai Neua,Vulnerable,70000.0,Kra–Dai,Lao People's Democratic Republic,"20.5166,104.3166"
Bhadravahi,Definitely endangered,66918.0,Indo-European,"India, Pakistan","33.5413,76.333"
Kinnauri,Definitely endangered,65097.0,Austroasiatic,India,"31.541,78.3764"
Gallo-Sicilian,Definitely endangered,65000.0,Indo-European,Italy,"38.0167,14.5994"
Kurux (Bangladesh),Vulnerable,65000.0,Dravidian,Bangladesh,"25.8196,88.9672"
Tz'utujil,Definitely endangered,63237.0,Mayan,Guatemala,"14.6394,-91.2301"
Chamorro,Vulnerable,62500.0,Austronesian,Guam (U.S.A.),"13.4323,144.7338"
Ashaninka (Peru),Vulnerable,62468.0,Arawakan,Peru,"-10.6929,-74.3444"
Chang,Vulnerable,62000.0,Sino-Tibetan,India,"26.2934,94.9493"
Kuna (Panama),Vulnerable,61703.0,Chibchan,Panama,"9.5983,-79.6334"
Churahi,Definitely endangered,61199.0,Indo-European,India,"33.1835,76.5747"
Nruanghmei,Vulnerable,61000.0,Sino-Tibetan,India,"24.9661,93.5375"
Rengma,Vulnerable,61000.0,Sino-Tibetan,India,"25.958,94.2462"
Faroese,Vulnerable,60000.0,Indo-European,Faroe Islands,"62.0112,-6.7785"
Northern Tujia,Severely endangered,60000.0,Sino-Tibetan,China,"28.828,109.5904"
Torwali,Definitely endangered,60000.0,Indo-European,Pakistan,"35.5833,72.5"
Chuj (Guatemala),Vulnerable,59048.0,Mayan,Guatemala,"15.8259,-91.4783"
Kachari,Definitely endangered,59000.0,Sino-Tibetan,India,"25.2844,93.2189"
Scottish Gaelic,Definitely endangered,58552.0,Indo-European,United Kingdom of Great Britain and Northern Ireland,"58.1011,-6.7675"
Sierra de Puebla Náhuatl,Definitely endangered,57189.0,Sino-Tibetan,Mexico,"19.6223,-97.8149"
Limonese Creole,Definitely endangered,55000.0,Sino-Tibetan,Costa Rica,"9.9916,-83.0316"
Kashubian,Severely endangered,53000.0,Indo-European,Poland,"54.2267,18.1713"
Khakas,Definitely endangered,52217.0,Turkic,Russian Federation,"53.7746,90.3735"
Parji,Critically endangered,51216.0,Dravidian,India,"18.5629,82.8039"
Arvanitika,Severely endangered,50000.0,Indo-European,Greece,"38.1863,23.6096"
Buryat (Cis-Baikal),Severely endangered,50000.0,Mongolic,Russian Federation,"52.7961,104.8809"
Buryat (Manchuria),Definitely endangered,50000.0,Mongolic,"China, Mongolia","49.8096,119.7509"
Cuona Menba,Vulnerable,50000.0,Sino-Tibetan,"Bhutan, China, India","26.8279,95.3623"
Eastern Cham,Definitely endangered,50000.0,Austronesian,Viet Nam,"10.7833,108.0833"
Hmar,Vulnerable,50000.0,Sino-Tibetan,India,"24.577,93.3178"
Huzhu Monguor,Severely endangered,50000.0,Mongolic,China,"36.7608,102.4255"
Paite,Vulnerable,50000.0,Sino-Tibetan,India,"24.1968,93.3563"
Quichua (Imbabura),Definitely endangered,50000.0,Quechuan,Ecuador,"0.1757,-78.2006"
Soqotri,Severely endangered,50000.0,Afro-Asiatic,Yemen,"12.5331,53.767"
Southern Altay,Definitely endangered,50000.0,Turkic,Russian Federation,"51.069,86.5942"
Transylvanian Saxon,Severely endangered,50000.0,Sino-Tibetan,Romania,"46.214,24.2413"
Turoyo,Severely endangered,50000.0,Afro-Asiatic,"Syrian Arab Republic, Turkey","37.405,41.3745"
Võro-Seto,Definitely endangered,50000.0,Uralic,"Estonia, Russian Federation","57.8096,27.29"
West Greenlandic,Vulnerable,50000.0,Eskimo–Aleut,Greenland (Kingdom of Denmark),"64.1681,-51.7236"
Western Armenian (Turkey),Definitely endangered,50000.0,Indo-European,Turkey,"41.0213,28.9324"
Zaramo,Definitely endangered,50000.0,Niger–Congo,United Republic of Tanzania,"-6.922,39.2409"
Zenatiya,Critically endangered,50000.0,Sino-Tibetan,Algeria,"35.5702,1.8099"
Papantla Totonac,Definitely endangered,49748.0,Totonacan,Mexico,"20.4477,-97.32"
Wancho,Vulnerable,49000.0,Sino-Tibetan,India,"26.9759,95.4656"
Bhumji,Vulnerable,47000.0,Niger–Congo,India,"21.8003,86.8139"
Cosung (China),Definitely endangered,47000.0,Sino-Tibetan,China,"22.6833,102.6666"
Cosung (Viet Nam),Definitely endangered,47000.0,Sino-Tibetan,Viet Nam,"22.6166,102.75"
Baheng (China),Vulnerable,45000.0,Hmong–Mien,China,"26.19,110.24"
Lumun,Definitely endangered,45000.0,Niger–Congo,Sudan,"10.8387,30.0338"
Quichua (Loja),Severely endangered,45000.0,Quechuan,Ecuador,"-3.6236,-79.2388"
Chamling,Definitely endangered,44093.0,Sino-Tibetan,Nepal,"27.0499,86.7329"
Irish,Definitely endangered,44000.0,Indo-European,"Ireland, United Kingdom of Great Britain and Northern Ireland","53.7876,-9.1845"
Reshe,Vulnerable,44000.0,Niger–Congo,Nigeria,"10.8791,4.6115"
Sierra Otomí,Vulnerable,43468.0,Oto-Manguean,Mexico,"20.1021,-97.622"
Phuthi,Definitely endangered,43000.0,Niger–Congo,Lesotho,"-29.3791,28.2838"
Rarotongan,Vulnerable,43000.0,Austronesian,Cook Islands,"-21.2343,-159.7837"
Khalaj,Vulnerable,42100.0,Turkic,Iran (Islamic Republic of),"34.3751,50.3063"
Dungan,Definitely endangered,41000.0,Sino-Tibetan,"Kazakhstan, Kyrgyzstan","42.4518,78.4643"
Kheza,Vulnerable,41000.0,Sino-Tibetan,India,"25.6811,94.367"
Jola-Kassa,Vulnerable,40850.0,Niger–Congo,Senegal,"13.1089,-15.8999"
Satār,Vulnerable,40260.0,Austroasiatic,Nepal,"26.5541,87.918"
Guaraní Boliviano,Vulnerable,40000.0,Tupian,"Argentina, Bolivia (Plurinational State of)","-20.1694,-63.8525"
Gutob,Vulnerable,40000.0,Austroasiatic,India,"18.7086,83.5839"
Kheng,Vulnerable,40000.0,Sino-Tibetan,Bhutan,"27.0786,91.0272"
Laro,Definitely endangered,40000.0,Niger–Congo,Sudan,"10.7685,29.902"
Minyong,Vulnerable,40000.0,Sino-Tibetan,India,"28.2632,95.0537"
Mru,Severely endangered,40000.0,Sino-Tibetan,Myanmar,"21.7748,92.2741"
Patani Malay,Vulnerable,40000.0,Sino-Tibetan,Thailand,"6.6482,100.0387"
"Quechua of Cajatambo, Pasco and northern Junín",Severely endangered,40000.0,Quechua,Peru,"-10.6147,-76.506"
Quichua (Napo),Definitely endangered,40000.0,Quechuan,Ecuador,"-0.6371,-77.1459"
Tangsa,Vulnerable,40000.0,Sino-Tibetan,India,"27.4059,96.427"
Tetserret,Severely endangered,40000.0,Sino-Tibetan,Niger,"15.4907,6.2072"
Awajun,Vulnerable,39000.0,Jivaroan,Peru,"-4.3464,-77.8271"
Khiamngan,Vulnerable,38000.0,Sino-Tibetan,India,"26.0518,95.1031"
Ngile,Severely endangered,38000.0,Niger–Congo,Sudan,"10.7901,29.8635"
Phunoi,Vulnerable,37311.0,Sino-Tibetan,Lao People's Democratic Republic,"21.6833,102.1"
Lower Mixe,Vulnerable,37000.0,Sino-Tibetan,Mexico,"16.9616,-95.093"
Maram,Vulnerable,37000.0,Sino-Tibetan,India,"25.185,93.9715"
Western Mari,Severely endangered,36822.0,Uralic,Russian Federation,"56.3317,46.5545"
Chepang,Vulnerable,36807.0,Sino-Tibetan,Nepal,"27.7552,84.8144"
Chontal Tabasco,Severely endangered,36514.0,Mayan,Mexico,"17.7607,-92.5936"
Muji,Definitely endangered,36500.0,Sino-Tibetan,China,"23.6,102.7333"
Akatek (Guatemala),Vulnerable,35763.0,Mayan,Guatemala,"15.5724,-91.4218"
Huichol,Vulnerable,35724.0,Uto-Aztecan,Mexico,"22.65,-103.5833"
Romansh,Definitely endangered,35095.0,Indo-European,Switzerland,"46.5777,9.6954"
Apatani,Vulnerable,35000.0,Sino-Tibetan,India,"27.5228,93.8177"
Galo,Vulnerable,35000.0,Sino-Tibetan,India,"28.1688,94.7433"
Korwa,Vulnerable,35000.0,Austroasiatic,India,"22.4922,84.1552"
Shuar chicham,Definitely endangered,35000.0,Jivaroan,Ecuador,"-2.8826,-78.0303"
Ticuna,Definitely endangered,35000.0,Tïcuna–Yuri,"Brazil, Colombia, Peru","-4.3464,-70.0048"
Wanka Quechua,Severely endangered,35000.0,Quechuan,Peru,"-12.136,-75.2453"
Sikuani,Vulnerable,34614.0,Guahiban,"Colombia, Venezuela (Bolivarian Republic of)","3.4256,-68.8183"
Jakaltek (Guatemala),Definitely endangered,34038.0,Mayan,Guatemala,"15.6685,-91.7111"
Liangmai,Vulnerable,34000.0,Sino-Tibetan,India,"25.2794,93.6694"
Zeme,Vulnerable,34000.0,Sino-Tibetan,India,"25.5027,93.5595"
Highland Mazatec,Vulnerable,33859.0,Oto-Manguean,Mexico,"18.1307,-96.8436"
Thangmi,Definitely endangered,33500.0,Sino-Tibetan,Nepal,"27.6969,86.0057"
Nocte,Vulnerable,33000.0,Sino-Tibetan,India,"27.1618,95.7952"
Mayo,Critically endangered,32869.0,Uto-Aztecan,Mexico,"26.9114,-109.6271"
Lauje,Vulnerable,32000.0,Austronesian,Indonesia,"-0.4531,119.9816"
Danuwar,Severely endangered,31849.0,Indo-European,Nepal,"26.9661,86.3223"
Sirmaudi,Critically endangered,31144.0,Indo-European,India,"30.9823,77.1569"
Abaza,Definitely endangered,31000.0,Northwest Caucasian,"Russian Federation, Turkey","44.1556,41.9368"
Koch,Definitely endangered,31000.0,Sino-Tibetan,India,"25.7603,90.3955"
Amis,Vulnerable,30000.0,Austronesian,China,"23.4456,121.4483"
Biak,Vulnerable,30000.0,Austronesian,Indonesia,"-0.3076,131.2207"
Bumthang,Vulnerable,30000.0,Sino-Tibetan,Bhutan,"27.492,90.7159"
Burgenland Croatian,Definitely endangered,30000.0,Indo-European,"Austria, Hungary, Slovakia","47.8435,16.5179"
Dzhidi,Definitely endangered,30000.0,Indo-European,Iran (Islamic Republic of),"33.5139,48.0102"
Judeo-Berber (Israel),Severely endangered,30000.0,Afro-Asiatic,Israel,"31.6767,34.5684"
Kham,Definitely endangered,30000.0,Sino-Tibetan,Nepal,"28.4321,82.9635"
Ladin,Definitely endangered,30000.0,Indo-European,Italy,"46.5531,11.8597"
Lepcha,Definitely endangered,30000.0,Sino-Tibetan,"Bhutan, India, Nepal","27.1153,88.4687"
Maonan,Vulnerable,30000.0,Kra–Dai,China,"24.8341,107.577"
"Mok (Myanmar, Thailand)",Definitely endangered,30000.0,Austroasiatic,"Myanmar, Thailand","21.7333,99.7666"
Moro,Definitely endangered,30000.0,Niger–Congo,Sudan,"10.8872,30.1904"
Mulam,Vulnerable,30000.0,Kra–Dai,China,"24.6341,108.2895"
North Saami,Definitely endangered,30000.0,Uralic,"Finland, Norway, Russian Federation, Sweden","68.9099,22.9394"
Quechua of Cajamarca,Severely endangered,30000.0,Quechuan,Peru,"-7.1772,-78.673"
Quichua (Pastaza),Definitely endangered,30000.0,Quechuan,Ecuador,"-1.7575,-76.8603"
Rushani,Definitely endangered,30000.0,Indo-European,"Tajikistan, Afghanistan","37.8705,71.5979"
Tagin,Vulnerable,30000.0,Sino-Tibetan,India,"28.038,94.2022"
Tialo,Vulnerable,30000.0,Austronesian,Indonesia,"0.4888,120.8935"
Tidikelt,Critically endangered,30000.0,Afro-Asiatic,Algeria,"26.8828,2.5488"
Toba,Definitely endangered,30000.0,Guaicuruan,Argentina,"-25.958,-59.0625"
Tundra Nenets,Definitely endangered,30000.0,Uralic,Russian Federation,"67.5001,67.7856"
Vojvodina Rusyn,Definitely endangered,30000.0,Sino-Tibetan,"Croatia, Serbia","45.6351,19.1903"
Wuse,Vulnerable,30000.0,mixed Tai–Chinese,China,"24.878,109.1053"
Agul,Definitely endangered,29399.0,Northeast Caucasian,Russian Federation,"41.7518,47.6875"
Rutul,Definitely endangered,29383.0,Northeast Caucasian,"Azerbaijan, Russian Federation","41.5332,47.3181"
Bateri,Definitely endangered,29000.0,Indo-European,Pakistan,"34.9073,72.8675"
Mzieme,Vulnerable,29000.0,Sino-Tibetan,India,"25.6019,93.8891"
Ghale,Vulnerable,28989.0,Sino-Tibetan,Nepal,"28.2501,84.718"
Sierra Popoluca,Vulnerable,28700.0,Mixe–Zoquean,Mexico,"18.245,-94.76"
Kurux (Nepal),Vulnerable,28615.0,Dravidian,Nepal,"26.6032,87.2259"
Deori,Definitely endangered,28000.0,Sino-Tibetan,India,"27.1911,94.1528"
Soyaltepec Mazatec,Vulnerable,27524.0,Oto-Manguean,Mexico,"18.2499,-96.3995"
Western Mazahua,Definitely endangered,27037.0,Sino-Tibetan,Mexico,"19.4372,-100.3552"
Sibe,Severely endangered,27000.0,Tungusic,China,"43.6599,81.3427"
Isthmus Náhuatl,Vulnerable,26632.0,Uto-Aztecan,Mexico,"18.2209,-94.8382"
Sunwar,Vulnerable,26611.0,Sino-Tibetan,Nepal,"27.3485,86.2337"
Mancagne,Vulnerable,26450.0,Niger–Congo,Senegal,"12.7743,-15.6967"
Gadaba,Critically endangered,26262.0,Dravidian,India,"18.3858,82.7819"
Banat Bulgarian,Definitely endangered,25000.0,Indo-European,"Romania, Serbia","45.4832,20.9069"
Csángó Hungarian,Severely endangered,25000.0,Uralic,Romania,"46.7925,27.1911"
Koda,Vulnerable,25000.0,Austroasiatic,India,"22.1263,87.0776"
Minhe Monguor,Definitely endangered,25000.0,Mongolic,China,"36.4919,102.6452"
Miskito (Honduras),Vulnerable,25000.0,Sino-Tibetan,Honduras,"15.3393,-84.6034"
Olonetsian,Definitely endangered,25000.0,Uralic,"Finland, Russian Federation","61.1273,32.8765"
Saek,Definitely endangered,25000.0,Kra–Dai,"Lao People's Democratic Republic, Thailand","19.3166,104.7833"
Sioux,Vulnerable,25000.0,Siouan,United States of America,"43.0588,-102.5244"
Tamazight (Beni Iznassen),Definitely endangered,25000.0,Afro-Asiatic,Morocco,"34.7506,-2.1917"
