Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Macushi (Brazil),Vulnerable,15000.0,Cariban,Brazil,"3.7765,-61.1279",3.7765,-61.1279
Nahali,Definitely endangered,15000.0,Indo-European,India,"21.4735,74.0258",21.4735,74.0258
Naluo,Vulnerable,15000.0,Sino-Tibetan,China,"26.5895,100.8506",26.5895,100.8506
Nyoe,Definitely endangered,15000.0,Sino-Tibetan,Thailand,"14.9102,104.6049",14.9102,104.6049
O'odham (Akimel),Definitely endangered,15000.0,Uto-Aztecan,United States of America,"33.059,-112.0479",33.059,-112.0479
O'odham (Tohono),Definitely endangered,15000.0,Uto-Aztecan,United States of America,"31.9186,-111.8798",31.9186,-111.8798
Paiwan,Vulnerable,15000.0,Austronesian,China,"22.4313,120.7809",22.4313,120.7809
Rao,Definitely endangered,15000.0,Kra–Dai,China,"25.871,107.0476",25.871,107.0476
Semai,Severely endangered,15000.0,Sino-Tibetan,Malaysia,"4.3039,101.445",4.3039,101.445
Shatt,Severely endangered,15000.0,Nilo-Saharan,Sudan,"10.8117,29.7235",10.8117,29.7235
Siwi,Definitely endangered,15000.0,Afro-Asiatic,Egypt,"29.1905,25.5322",29.1905,25.5322
Tagargrent,Severely endangered,15000.0,Afro-Asiatic,Algeria,"30.9587,4.0209",30.9587,4.0209
Tayurayt,Vulnerable,15000.0,Sino-Tibetan,Algeria,"36.5648,1.9061",36.5648,1.9061
Totoli,Vulnerable,15000.0,Austronesian,Indonesia,"0.8953,120.2838",0.8953,120.2838
Aruaco,Vulnerable,14799.0,Chibchan,Colombia,"10.0986,-73.5424",10.0986,-73.5424
Yakkha,Critically endangered,14648.0,Sino-Tibetan,Nepal,"27.1908,87.3358",27.1908,87.3358
Kuruba,Critically endangered,14613.0,Dravidian,India,"11.4369,76.3549",11.4369,76.3549
Tuamotuan,Definitely endangered,14400.0,Austronesian,French Polynesia (France),"-14.9354,-147.7455",-14.9354,-147.7455
Katla,Definitely endangered,14208.0,Niger–Congo,Sudan,"11.7329,29.3939",11.7329,29.3939
Garífuna (Belize),Vulnerable,14061.0,Arawakan,Belize,"17.1833,-88.5833",17.1833,-88.5833
Thulung,Definitely endangered,14034.0,Sino-Tibetan,Nepal,"27.4534,86.6423",27.4534,86.6423
Bawm,Definitely endangered,14000.0,Sino-Tibetan,"Bangladesh, India","22.1874,92.6477",22.1874,92.6477
Guajajara,Vulnerable,14000.0,Tupian,Brazil,"-4.8282,-46.8017",-4.8282,-46.8017
Niuean,Definitely endangered,14000.0,Austronesian,Niue,"-19.0491,-169.8706",-19.0491,-169.8706
Uhunduni,Vulnerable,14000.0,Trans–New Guinea,Indonesia,"-4.2054,137.031",-4.2054,137.031
Gusilay,Vulnerable,13950.0,Niger–Congo,Senegal,"12.7019,-16.4382",12.7019,-16.4382
Xavante,Vulnerable,13303.0,Macro-Ge,Brazil,"-14.4832,-53.5305",-14.4832,-53.5305
Dondo,Vulnerable,13000.0,Austronesian,Indonesia,"0.747,120.4266",0.747,120.4266
Khampti,Vulnerable,13000.0,Sino-Tibetan,India,"27.8827,96.5093",27.8827,96.5093
Nalu,Definitely endangered,13000.0,Niger–Congo,Guinea,"10.9523,-14.7629",10.9523,-14.7629
Tagoi,Severely endangered,13000.0,Niger–Congo,Sudan,"10.8252,30.1657",10.8252,30.1657
Karko,Definitely endangered,12986.0,Nilo-Saharan,Sudan,"11.964,29.4186",11.964,29.4186
San Mateo del Mar Huave,Vulnerable,12667.0,Language isolate,Mexico,"16.2,-94.9833",16.2,-94.9833
Q'eqchi' (Belize),Vulnerable,12366.0,Mayan,Belize,"16.8107,-88.3999",16.8107,-88.3999
Kadaru,Definitely endangered,12360.0,Nilo-Saharan,Sudan,"12.1789,30.2398",12.1789,30.2398
Mazatlán Mazatec,Vulnerable,12340.0,Oto-Manguean,Mexico,"18.033,-96.8999",18.033,-96.8999
Badiaranke,Severely endangered,12205.0,Niger–Congo,Guinea,"12.4043,-13.5736",12.4043,-13.5736
Alune,Vulnerable,12000.0,Austronesian,Indonesia,"-3.0637,128.3752",-3.0637,128.3752
Bangani,Critically endangered,12000.0,Indo-European,India,"29.8692,79.0686",29.8692,79.0686
Chamalal,Definitely endangered,12000.0,Northeast Caucasian,Russian Federation,"42.5712,46.0739",42.5712,46.0739
Chru,Vulnerable,12000.0,Austronesian,Viet Nam,"11.4666,109.05",11.4666,109.05
Hill Miri,Definitely endangered,12000.0,Sino-Tibetan,India,"27.7078,94.0374",27.7078,94.0374
Jinuo,Definitely endangered,12000.0,Sino-Tibetan,China,"21.4758,101.3111",21.4758,101.3111
Muya,Vulnerable,12000.0,Sino-Tibetan,China,"30.2593,101.7497",30.2593,101.7497
Samei,Severely endangered,12000.0,Sino-Tibetan,China,"25.0756,103.0133",25.0756,103.0133
Tajio,Vulnerable,12000.0,Austronesian,Indonesia,"-0.0954,120.0173",-0.0954,120.0173
Tobada',Extinct,12000.0,Austronesian,Indonesia,"-2.019,119.4708",-2.019,119.4708
Yurt Tatar,Definitely endangered,12000.0,Sino-Tibetan,Russian Federation,"46.3943,48.3288",46.3943,48.3288
Yaqui (Mexico),Vulnerable,11806.0,Uto-Aztecan,Mexico,"27.6436,-110.296",27.6436,-110.296
Ch'orti' (Guatemala),Definitely endangered,11734.0,Mayan,Guatemala,"14.968,-89.2905",14.968,-89.2905
Filomeno Mata Totonac,Vulnerable,11710.0,Totozoquean,Mexico,"20.198,-97.7022",20.198,-97.7022
Northern Totonac,Critically endangered,11529.0,Sino-Tibetan,Mexico,"20.2741,-97.955",20.2741,-97.955
Komo,Definitely endangered,11500.0,Nilo-Saharan,"Ethiopia, Sudan","9.0804,34.0905",9.0804,34.0905
Tuwuli,Vulnerable,11400.0,Niger–Congo,Ghana,"7.0572,0.3845",7.0572,0.3845
Poqomam,Definitely endangered,11273.0,Sino-Tibetan,Guatemala,"14.6455,-89.7274",14.6455,-89.7274
Idu,Definitely endangered,11101.0,Sino-Tibetan,"China, India","28.6496,95.8419",28.6496,95.8419
Kari'ña (Venezuela),Severely endangered,11000.0,Cariban,Venezuela (Bolivarian Republic of),"8.4941,-64.0942",8.4941,-64.0942
Machiguenga,Definitely endangered,11000.0,Arawakan,Peru,"-11.8888,-72.9052",-11.8888,-72.9052
Piaroa (Venezuela),Vulnerable,11000.0,Piaroa–Saliban,Venezuela (Bolivarian Republic of),"4.5435,-66.7089",4.5435,-66.7089
Tuvaluan,Definitely endangered,11000.0,Austronesian,Tuvalu,"-8.5049,179.187",-8.5049,179.187
Waunana (Colombia),Vulnerable,11000.0,Chocoan,Colombia,"4.2806,-77.0581",4.2806,-77.0581
Noon,Vulnerable,10925.0,Niger–Congo,Senegal,"14.8173,-16.5234",14.8173,-16.5234
Sampang,Vulnerable,10810.0,Sino-Tibetan,Nepal,"27.257,86.9444",27.257,86.9444
Central Alaskan Yupik (2),Vulnerable,10400.0,Eskimo–Aleut,United States of America,"61.4387,-160.4882",61.4387,-160.4882
Central Alaskan Yupik (Nuniak Island),Vulnerable,10400.0,Eskimo–Aleut,United States of America,"59.8889,-166.289",59.8889,-166.289
Bukiyip,Vulnerable,10304.0,Torricelli,Papua New Guinea,"-3.4256,143.0886",-3.4256,143.0886
Saparua,Definitely endangered,10216.0,Austronesian,Indonesia,"-3.5757,128.6464",-3.5757,128.6464
Darai,Severely endangered,10210.0,Indo-European,Nepal,"27.9264,84.331",27.9264,84.331
Bandial,Vulnerable,10125.0,Niger–Congo,Senegal,"12.5317,-16.1553",12.5317,-16.1553
Bongo,Definitely endangered,10084.0,Nilo-Saharan,Sudan,"6.1405,31.7999",6.1405,31.7999
Northwestern Tarahumara,Vulnerable,10031.0,Uto-Aztecan,Mexico,"27.9169,-107.0552",27.9169,-107.0552
Algherese Catalan,Definitely endangered,10000.0,Indo-European,Italy,"40.5638,8.3276",40.5638,8.3276
Aragonese,Definitely endangered,10000.0,Indo-European,Spain,"42.2935,-0.4394",42.2935,-0.4394
Baima,Vulnerable,10000.0,Sino-Tibetan,China,"33.1531,103.8696",33.1531,103.8696
Bukharic,Definitely endangered,10000.0,Indo-European,Uzbekistan,"39.8043,64.4224",39.8043,64.4224
Bunun,Vulnerable,10000.0,Austronesian,China,"23.3624,121.1077",23.3624,121.1077
Burunge,Vulnerable,10000.0,Afro-Asiatic,United Republic of Tanzania,"-4.7297,35.7769",-4.7297,35.7769
Chayahuita,Definitely endangered,10000.0,Cahuapanan,Peru,"-5.3425,-76.6955",-5.3425,-76.6955
Cherokee (Oklahoma),Definitely endangered,10000.0,Iroquoian,United States of America,"36.7544,-98.3569",36.7544,-98.3569
Dalecarlian,Definitely endangered,10000.0,Indo-European,Sweden,"61.2385,14.0295",61.2385,14.0295
"Huitoto (Colombia, Peru)",Definitely endangered,10000.0,Bora–Witoto,"Colombia, Peru","-3.0308,-71.8066",-3.0308,-71.8066
Hulaula (Israel),Severely endangered,10000.0,Afro-Asiatic,Israel,"32.2128,34.9118",32.2128,34.9118
Karang,Vulnerable,10000.0,Nilo-Saharan,Chad,"8.3093,15.3588",8.3093,15.3588
Karelian (Tver),Definitely endangered,10000.0,Uralic,Russian Federation,"58.1533,36.101",58.1533,36.101
Karone,Vulnerable,10000.0,Niger–Congo,Senegal,"12.7769,-16.7733",12.7769,-16.7733
Kryz,Severely endangered,10000.0,Northeast Caucasian,Azerbaijan,"41.1455,48.164",41.1455,48.164
"Kurripako (Colombia, Venezuela)",Definitely endangered,10000.0,Arawakan,"Colombia, Venezuela (Bolivarian Republic of)","2.3723,-67.5659",2.3723,-67.5659
Kurtöp,Vulnerable,10000.0,Sino-Tibetan,Bhutan,"27.7127,90.9667",27.7127,90.9667
Lamgang,Critically endangered,10000.0,Sino-Tibetan,India,"24.2569,94.0759",24.2569,94.0759
Miqie,Definitely endangered,10000.0,Sino-Tibetan,China,"26.9053,100.8506",26.9053,100.8506
Mojo,Definitely endangered,10000.0,Arawakan,Bolivia (Plurinational State of),"-14.966,-65.1708",-14.966,-65.1708
Muot,Critically endangered,10000.0,Austroasiatic,India,"8.0932,93.4963",8.0932,93.4963
Naiki,Critically endangered,10000.0,Dravidian,India,"19.8287,78.2281",19.8287,78.2281
Ñandeva Guarani,Vulnerable,10000.0,Tupian,Brazil,"-22.0652,-54.7558",-22.0652,-54.7558
Ngwaba,Severely endangered,10000.0,Afro-Asiatic,Nigeria,"9.9904,12.81",9.9904,12.81
North Frisian,Severely endangered,10000.0,Indo-European,Germany,"54.7341,8.7478",54.7341,8.7478
Northern Khanty,Definitely endangered,10000.0,Uralic,Russian Federation,"63.7047,66.676",63.7047,66.676
Nyah Kur,Definitely endangered,10000.0,Austroasiatic,Thailand,"15.6587,101.5068",15.6587,101.5068
Nyenkha,Vulnerable,10000.0,Sino-Tibetan,Bhutan,"27.4595,90.4119",27.4595,90.4119
Orang Hulu,Definitely endangered,10000.0,Austronesian,Malaysia,"1.8871,103.984",1.8871,103.984
Otoro,Severely endangered,10000.0,Niger–Congo,Sudan,"11.1864,30.6353",11.1864,30.6353
Solon,Definitely endangered,10000.0,Tungusic,China,"48.166,119.4873",48.166,119.4873
Southern Tujia,Severely endangered,10000.0,Sino-Tibetan,China,"28.258,109.9398",28.258,109.9398
Taba,Vulnerable,10000.0,Austronesian,Indonesia,"0.0659,127.4084",0.0659,127.4084
Talu,Vulnerable,10000.0,Sino-Tibetan,China,"26.5623,102.8506",26.5623,102.8506
Tamazight (Tunisia),Severely endangered,10000.0,Afro-Asiatic,Tunisia,"36.0313,9.8767",36.0313,9.8767
Tayal,Vulnerable,10000.0,Austronesian,China,"24.5458,121.3591",24.5458,121.3591
Temein,Severely endangered,10000.0,Nilo-Saharan,Sudan,"11.8377,29.4625",11.8377,29.4625
Temiar,Definitely endangered,10000.0,Austroasiatic,Malaysia,"4.9493,101.4113",4.9493,101.4113
Trukhmen,Definitely endangered,10000.0,Sino-Tibetan,"Russian Federation, Turkmenistan","44.4886,44.5385",44.4886,44.5385
Vidunda,Vulnerable,10000.0,Niger–Congo,United Republic of Tanzania,"-6.8664,37.304",-6.8664,37.304
Kogui,Vulnerable,9911.0,Chibchan,Colombia,"10.8548,-74.0258",10.8548,-74.0258
Paloor,Vulnerable,9680.0,Niger–Congo,Senegal,"14.7801,-16.8035",14.7801,-16.8035
Awakatek (Guatemala),Vulnerable,9613.0,Sino-Tibetan,Guatemala,"15.3429,-91.312",15.3429,-91.312
Choctaw (Louisiana),Vulnerable,9500.0,Muskogean,United States of America,"31.6822,-92.1252",31.6822,-92.1252
Choctaw (Mississipi),Vulnerable,9500.0,Muskogean,United States of America,"32.7713,-89.1163",32.7713,-89.1163
Choctaw (Oklahoma),Vulnerable,9500.0,Muskogean,United States of America,"34.1472,-94.81",34.1472,-94.81
Gawar-Bati,Definitely endangered,9500.0,Indo-European,"Pakistan, Afghanistan","35.158,71.4083",35.158,71.4083
Taruang,Vulnerable,9332.0,Sino-Tibetan,"China, India, Myanmar","28.12,95.88",28.12,95.88
Khaling,Definitely endangered,9288.0,Sino-Tibetan,Nepal,"27.5781,86.7163",27.5781,86.7163
Western Tarahumara,Vulnerable,9196.0,Sino-Tibetan,Mexico,"27.3361,-108.5007",27.3361,-108.5007
Nunavimmiutitut,Vulnerable,9105.0,Eskimo–Aleut,Canada,"58.1665,-68.3605",58.1665,-68.3605
Woods Cree,Vulnerable,9095.0,Algic,Canada,"55.1711,-102.9061",55.1711,-102.9061
Phula (Viet Nam),Definitely endangered,9046.0,Sino-Tibetan,Viet Nam,"22.7833,105.4666",22.7833,105.4666
Dol-po,Definitely endangered,9000.0,Sino-Tibetan,Nepal,"29.2193,83.0676",29.2193,83.0676
Helong,Severely endangered,9000.0,Austronesian,Indonesia,"-10.1905,123.5247",-10.1905,123.5247
Lisela,Vulnerable,9000.0,Austronesian,Indonesia,"-3.2392,127.0239",-3.2392,127.0239
Motuo Menba,Definitely endangered,9000.0,Sino-Tibetan,"China, India","28.664,94.0347",28.664,94.0347
Panamahka,Vulnerable,9000.0,Misumalpan,Nicaragua,"14.2856,-84.5947",14.2856,-84.5947
Zuni,Vulnerable,9000.0,Language isolate,United States of America,"35.082,-108.76",35.082,-108.76
Mopán (Belize),Severely endangered,8980.0,Mayan,Belize,"16.2449,-88.8654",16.2449,-88.8654
Tulishi,Severely endangered,8628.0,Kadu,Sudan,"11.5984,29.0917",11.5984,29.0917
Central Cuicatec,Vulnerable,8621.0,Oto-Manguean,Mexico,"17.8,-96.961",17.8,-96.961
Ts'amay,Definitely endangered,8621.0,Afro-Asiatic,Ethiopia,"5.4382,37.2463",5.4382,37.2463
Phalura,Definitely endangered,8600.0,Indo-European,Pakistan,"35.7264,71.7434",35.7264,71.7434
Northern Popoloc,Vulnerable,8597.0,Sino-Tibetan,Mexico,"18.6818,-97.658",18.6818,-97.658
Ixcatlán Mazatec,Vulnerable,8593.0,Oto-Manguean,Mexico,"18.1447,-96.4855",18.1447,-96.4855
Patla-Chicontla Totonac,Severely endangered,8590.0,Totozoquean,Mexico,"20.1644,-97.6927",20.1644,-97.6927
Toram,Severely endangered,8456.0,Afro-Asiatic,Chad,"11.1581,19.6023",11.1581,19.6023
Northwestern Tlapanec,Vulnerable,8409.0,Sino-Tibetan,Mexico,"17.5595,-98.9332",17.5595,-98.9332
Dene,Vulnerable,8195.0,Dené–Yeniseian,Canada,"56.4807,-109.4127",56.4807,-109.4127
Micmac (Massachusetts),Definitely endangered,8145.0,Algic,United States of America,"42.3589,-71.0578",42.3589,-71.0578
Argobba,Critically endangered,8000.0,Afro-Asiatic,Ethiopia,"10.5958,39.9792",10.5958,39.9792
Austral dialects,Definitely endangered,8000.0,Austronesian,French Polynesia (France),"-23.3775,-149.4909",-23.3775,-149.4909
Belanda Bor,Definitely endangered,8000.0,Nilo-Saharan,Sudan,"6.4954,27.7404",6.4954,27.7404
Feroge,Vulnerable,8000.0,Ubangian,Sudan,"8.5049,25.7189",8.5049,25.7189
Hachijō,Definitely endangered,8000.0,Sino-Tibetan,Japan,"33.11,139.7891",33.11,139.7891
Inga,Severely endangered,8000.0,Quechua,Colombia,"1.1658,-77.0011",1.1658,-77.0011
Kanga,Severely endangered,8000.0,Kadu,Sudan,"10.844,29.4708",10.844,29.4708
Lajia,Definitely endangered,8000.0,Kra–Dai,China,"23.7439,110.0526",23.7439,110.0526
Lakha,Definitely endangered,8000.0,Sino-Tibetan,Bhutan,"27.5898,90.3735",27.5898,90.3735
Mbya Guarani (Paraguay),Definitely endangered,8000.0,Tupian,Paraguay,"-26.5099,-55.2832",-26.5099,-55.2832
Mundurukú,Vulnerable,8000.0,Tupian,Brazil,"-8.1027,-57.3486",-8.1027,-57.3486
Ojibwe,Severely endangered,8000.0,Algic,United States of America,"46.0706,-93.6677",46.0706,-93.6677
Quichua (Salasaca),Definitely endangered,8000.0,Quechuan,Ecuador,"-1.3511,-78.6511",-1.3511,-78.6511
Rongpo,Vulnerable,8000.0,Sino-Tibetan,India,"30.7229,79.7387",30.7229,79.7387
Sanyi,Severely endangered,8000.0,Sino-Tibetan,China,"24.9262,102.5134",24.9262,102.5134
Temuan,Severely endangered,8000.0,Austronesian,Malaysia,"3.3709,101.984",3.3709,101.984
Tingal,Definitely endangered,8000.0,Niger–Congo,Sudan,"12.238,31.1215",12.238,31.1215
Wampis,Vulnerable,8000.0,Jivaroan,Peru,"-3.4476,-77.7941",-3.4476,-77.7941
Wunai Bunu,Definitely endangered,8000.0,Hmong–Mien,China,"24.4146,107.8378",24.4146,107.8378
Yanesha,Severely endangered,8000.0,Arawakan,Peru,"-10.3743,-75.2343",-10.3743,-75.2343
Mam (Mexico),Severely endangered,7977.0,Sino-Tibetan,Mexico,"17.3661,-93.5334",17.3661,-93.5334
Pana,Definitely endangered,7800.0,Niger–Congo,Burkina Faso,"13.165,-3.4277",13.165,-3.4277
Macushi (Guyana),Vulnerable,7750.0,Cariban,Guyana,"3.6888,-59.4799",3.6888,-59.4799
Chukchi,Severely endangered,7742.0,Chukotko-Kamchatkan,Russian Federation,"67.6248,176.1767",67.6248,176.1767
Cabécar,Vulnerable,7622.0,Sino-Tibetan,Costa Rica,"9.9012,-83.6844",9.9012,-83.6844
Awa Cuaiquer,Critically endangered,7500.0,Barbacoan,Colombia,"1.4939,-78.5742",1.4939,-78.5742
Lishana Deni (Israel),Severely endangered,7500.0,Afro-Asiatic,Israel,"31.7748,35.1013",31.7748,35.1013
Central Pame,Vulnerable,7399.0,Oto-Manguean,Mexico,"21.9208,-99.3741",21.9208,-99.3741
Puinave,Definitely endangered,7377.0,unclassified,"Colombia, Venezuela (Bolivarian Republic of)","4.434,-68.1591",4.434,-68.1591
Mebengokre,Vulnerable,7266.0,Macro-Je,Brazil,"-6.5569,-52.4707",-6.5569,-52.4707
Tunebo,Definitely endangered,7231.0,Chibchan,"Colombia, Venezuela (Bolivarian Republic of)","6.4463,-72.0483",6.4463,-72.0483
Quechua of Peruvian Amazonia,Vulnerable,7200.0,Quechuan,Peru,"-2.3723,-74.1137",-2.3723,-74.1137
Asur,Definitely endangered,7000.0,Austroasiatic,India,"22.4719,84.9023",22.4719,84.9023
Bashkardi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"28.5169,57.7551",28.5169,57.7551
Burji,Vulnerable,7000.0,Afro-Asiatic,Kenya,"2.1857,37.9248",2.1857,37.9248
Choyi,Definitely endangered,7000.0,Sino-Tibetan,China,"30.8519,99.6659",30.8519,99.6659
Gazi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"32.8036,51.6211",32.8036,51.6211
Guichong,Vulnerable,7000.0,Sino-Tibetan,China,"30.8148,101.7021",30.8148,101.7021
Karagash,Definitely endangered,7000.0,Sino-Tibetan,Russian Federation,"47.2643,47.2412",47.2643,47.2412
Natanzi,Severely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"33.452,51.3006",33.452,51.3006
Nayini,Severely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"32.8519,53.1573",32.8519,53.1573
Parya,Severely endangered,7000.0,Indo-European,"Uzbekistan, Tajikistan, Afghanistan","38.5094,68.0932",38.5094,68.0932
Segeju,Severely endangered,7000.0,Niger–Congo,United Republic of Tanzania,"-4.8173,39.0783",-4.8173,39.0783
Sivandi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"29.9168,51.5945",29.9168,51.5945
Soi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"31.6533,55.6787",31.6533,55.6787
Tucano (Brazil),Vulnerable,7000.0,Tucanoan,Brazil,"0.1757,-67.2363",0.1757,-67.2363
Wapishana (Guyana),Vulnerable,7000.0,Arawakan,Guyana,"2.3065,-59.6997",2.3065,-59.6997
Yulu,Vulnerable,7000.0,Nilo-Saharan,"Central African Republic, Democratic Republic of the Congo, Sudan","8.3854,24.1754",8.3854,24.1754
Zhaba,Vulnerable,7000.0,Sino-Tibetan,China,"31.4,100.4734",31.4,100.4734
Sakapultek,Definitely endangered,6973.0,Mayan,Guatemala,"14.9752,-91.0527",14.9752,-91.0527
Chara,Vulnerable,6932.0,Afro-Asiatic,Ethiopia,"6.479,36.3647",6.479,36.3647
Kosraean,Severely endangered,6900.0,Austronesian,"Micronesia (Federated States of), Nauru","5.322,162.9904",5.322,162.9904
Waunana (Panama),Severely endangered,6882.0,Chocoan,Panama,"8.2984,-78.1018",8.2984,-78.1018
San Francisco del Mar Huave,Critically endangered,6874.0,Language isolate,Mexico,"16.3333,-94.5166",16.3333,-94.5166
Northern East Cree,Vulnerable,6870.0,Algic,Canada,"53.6916,-78.8011",53.6916,-78.8011
Micmac (Canada),Vulnerable,6850.0,Algic,Canada,"45.9646,-60.6172",45.9646,-60.6172
Northern Tepehuán,Definitely endangered,6802.0,Austronesian,Mexico,"26.4258,-107.2683",26.4258,-107.2683
Miju,Vulnerable,6700.0,Sino-Tibetan,"China, India","28.1155,96.2896",28.1155,96.2896
Rio Grande Keresan,Definitely endangered,6685.0,Sino-Tibetan,United States of America,"35.5147,-106.3655",35.5147,-106.3655
Western Mazatec,Vulnerable,6639.0,Sino-Tibetan,Mexico,"18.1351,-96.9057",18.1351,-96.9057
Bussa,Vulnerable,6624.0,Afro-Asiatic,Ethiopia,"5.7225,37.1406",5.7225,37.1406
Beli,Definitely endangered,6600.0,Nilo-Saharan,Sudan,"6.4736,29.2675",6.4736,29.2675
Chesu,Definitely endangered,6600.0,Sino-Tibetan,China,"24.4211,102.0459",24.4211,102.0459
Thuri,Vulnerable,6600.0,Nilo-Saharan,Sudan,"8.4397,25.4333",8.4397,25.4333
Karata,Definitely endangered,6574.0,Northeast Caucasian,Russian Federation,"42.5874,46.3348",42.5874,46.3348
Saulteau,Vulnerable,6558.0,Algic,Canada,"50.5573,-98.6562",50.5573,-98.6562
Kumāle,Severely endangered,6533.0,Indo-European,Nepal,"27.788,84.548",27.788,84.548
Lower Northwestern Otomí,Vulnerable,6509.0,Sino-Tibetan,Mexico,"20.1865,-100.1469",20.1865,-100.1469
Dimme,Vulnerable,6501.0,Afro-Asiatic,Ethiopia,"5.9548,36.2988",5.9548,36.2988
Chiquitano (Bolivia),Definitely endangered,6500.0,Language isolate,Bolivia (Plurinational State of),"-16.5835,-61.6113",-16.5835,-61.6113
Tumtum,Severely endangered,6500.0,Kadu,Sudan,"10.477,30.4321",10.477,30.4321
Bezhta,Definitely endangered,6461.0,Northeast Caucasian,Russian Federation,"42.1369,46.1508",42.1369,46.1508
Thakali,Vulnerable,6441.0,Sino-Tibetan,Nepal,"28.7146,83.6478",28.7146,83.6478
Dongotono,Vulnerable,6219.0,Nilo-Saharan,Sudan,"4.965,35.321",4.965,35.321
Mawé,Vulnerable,6219.0,Tupian,Brazil,"-3.8642,-56.7773",-3.8642,-56.7773
Shor,Severely endangered,6210.0,Turkic,Russian Federation,"53.0544,87.7478",53.0544,87.7478
Central Tlapanec,Vulnerable,6191.0,Sino-Tibetan,Mexico,"17.2624,-98.7482",17.2624,-98.7482
Oji-Cree,Vulnerable,6110.0,Algic,Canada,"53.8141,-94.8977",53.8141,-94.8977
Keiga,Severely endangered,6072.0,Kadu,Sudan,"11.3184,29.696",11.3184,29.696
Ampibabo Lauje,Vulnerable,6000.0,Austronesian,Indonesia,"0.3295,120.1904",0.3295,120.1904
Cashinahua (Brazil),Vulnerable,6000.0,Panoan,Brazil,"-9.2603,-71.5304",-9.2603,-71.5304
Geji cluster,Severely endangered,6000.0,Afro-Asiatic,Nigeria,"10.196,9.5581",10.196,9.5581
Mbya Guarani (Brazil),Vulnerable,6000.0,Tupian,Brazil,"-30.1451,-50.625",-30.1451,-50.625
Moklen,Definitely endangered,6000.0,Austronesian,"Myanmar, Thailand","8.1953,98.3036",8.1953,98.3036
Nauruan,Severely endangered,6000.0,Austronesian,Nauru,"-0.53,166.9221",-0.53,166.9221
Nheengatu / Yeral (Brazil),Severely endangered,6000.0,Tupian,Brazil,"-0.4833,-67.0166",-0.4833,-67.0166
Parachi,Definitely endangered,6000.0,Indo-European,Afghanistan,"34.4658,68.637",34.4658,68.637
Quechua of San Martín,Severely endangered,6000.0,Quechuan,Peru,"-6.5336,-76.4428",-6.5336,-76.4428
Sawkna,Critically endangered,6000.0,Afro-Asiatic,Libyan Arab Jamahiriya,"27.252,17.7539",27.252,17.7539
Sulung,Definitely endangered,6000.0,Sino-Tibetan,"China, India","27.839,92.8784",27.839,92.8784
Tindi,Definitely endangered,6000.0,Si,Russian Federation,"42.466,46.1453",42.466,46.1453
Western Apache,Definitely endangered,6000.0,Dené–Yeniseian,United States of America,"33.2563,-110.4637",33.2563,-110.4637
Yanomami (Brazil),Vulnerable,6000.0,Yanomam,Brazil,"3.0746,-63.457",3.0746,-63.457
Yazgulami,Severely endangered,6000.0,Indo-European,Tajikistan,"38.1982,71.4276",38.1982,71.4276
Chantyal,Definitely endangered,5912.0,Sino-Tibetan,Nepal,"28.4493,83.4054",28.4493,83.4054
Mortlockese,Definitely endangered,5904.0,Austronesian,Micronesia (Federated States of),"5.5811,153.5668",5.5811,153.5668
Baníwa do Içana,Vulnerable,5811.0,Arawakan,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","1.2743,-68.291",1.2743,-68.291
"Akawaio (Guyana, Venezuela)",Definitely endangered,5800.0,Cariban,"Guyana, Venezuela (Bolivarian Republic of)","5.3753,-60.5126",5.3753,-60.5126
Akhvakh,Definitely endangered,5793.0,Northeast Caucasian,Russian Federation,"42.472,46.3238",42.472,46.3238
Veps,Severely endangered,5753.0,Uralic,Russian Federation,"60.3269,34.8046",60.3269,34.8046
Qikiqtaaluk nigiani,Vulnerable,5740.0,Eskimo–Aleut,Canada,"63.7577,-68.5178",63.7577,-68.5178
Sipakapense,Definitely endangered,5687.0,Mayan,Guatemala,"15.2121,-91.6335",15.2121,-91.6335
Bribri (Costa Rica),Vulnerable,5647.0,Chibchan,Costa Rica,"9.5596,-83.3073",9.5596,-83.3073
Bainouk-Gunyaamolo,Vulnerable,5635.0,Niger–Congo,Senegal,"12.7421,-16.1141",12.7421,-16.1141
Kwatay,Severely endangered,5625.0,Niger–Congo,Senegal,"12.4204,-16.7596",12.4204,-16.7596
Baheng (Viet Nam),Vulnerable,5569.0,Hmong–Mien,Viet Nam,"22.8166,106.35",22.8166,106.35
Central Zoque,Definitely endangered,5500.0,Sino-Tibetan,Mexico,"17.0965,-93.2095",17.0965,-93.2095
Dameli,Severely endangered,5500.0,Indo-European,Pakistan,"35.578,71.8684",35.578,71.8684
Sak (Bangladesh),Severely endangered,5500.0,Sino-Tibetan,Bangladesh,"21.5041,92.2055",21.5041,92.2055
Yidgha,Definitely endangered,5500.0,Indo-European,Pakistan,"36.0024,71.6006",36.0024,71.6006
