Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Kuku-Mangk,Critically endangered,1,Pama-Nyungan; Paman,Australia ,"-14.464675,142.400131",-14.464675,142.400131
Kuku-Mu'inh,Critically endangered,7,Pama-Nyungan; Paman,Australia ,"-14.574539,141.631086",-14.574539,141.631086
Kuku-Muminh,Critically endangered,<31,Pama-Nyungan; Paman,Australia ,"-14.305372,142.273786",-14.305372,142.273786
Kuku-Ugbanh,Critically endangered,6,Pama-Nyungan; Paman,Australia ,"-14.431717,141.713483",-14.431717,141.713483
Kuku-Uwanh,Severely endangered,<40,Pama-Nyungan; Paman,Australia ,"-14.261428,142.757186",-14.261428,142.757186
Kuku-Yalanji,Definitely endangered,700,Pama-Nyungan; Yalandyic,Australia ,"-16.118117,145.047836",-16.118117,145.047836
Kula,Vulnerable,"5,000",Timor-Alor-Pantar; Alor,Indonesia ,"-8.2, 125.0",-8.2, 125.0
Kulfa,Vulnerable,"2,200",Central Sudanic; Bongo-Bagirmi,Chad ,"9.9742,19.1848",9.9742,19.1848
Kulina,Severely endangered,30,Pano-Tacanan; Mayoruna,Brazil ,"-5.6597,-71.5429",-5.6597,-71.5429
Kulung (Nepal),Vulnerable,"33,200",Sino-Tibetan; Kiranti,India Nepal ,"27.5,87.0",27.5,87.0
Kulung (Nigeria),Vulnerable,"15,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Nigeria ,"12.516358,8.833839",12.516358,8.833839
Kumandin,Definitely endangered,1044,Turkic; South Siberian,Russia ,"52.884889, 86.323299",52.884889, 86.323299
Kumarbhag Paharia,Vulnerable,"20,200",Dravidian; North Dravidian,India ,"25.0,87.3333333333",25.0,87.3333333333
Kumbewaha,Vulnerable,"3,400",Austronesian; Malayo-Polynesian; Celebic; Muna-Buton,Indonesia ,"-5.34, 123.15",-5.34, 123.15
Kumeyaay,Critically endangered,40 - 50,Cochimi-Yuman; Yuman,USA Mexico ,"32.9359,-116.868",32.9359,-116.868
Kumhali,Definitely endangered,"12,200",Indo-European; Indo-Iranian; Indo-Aryan,Nepal ,"27.788,84.548",27.788,84.548
Kumzari,Vulnerable,"~4,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Oman ,"26.1936,56.2431",26.1936,56.2431
Kuna,Vulnerable,"44,100",Chibchan; Isthmic,Colombia Panama ,"9.4,-78.316667",9.4,-78.316667
Kunbarlang,Severely endangered,50-100,Gunwinyguan; Gunwinggic,Australia ,"-12.020217,133.836286",-12.020217,133.836286
